symbol,price,day_change_pct,avg_entry_return,median_entry_return,best_entry_return,worst_entry_return,pct_profitable_entries,entry_days,roll3m_avg,roll3m_median,roll3m_best,roll3m_worst,roll3m_pos_pct,roll3m_windows,high_52w,low_52w,as_of
ORBTEXP,234.7,-3.59,30.43,35.81,73.4,-5.98,92.0,125,17.62,13.81,73.28,-21.08,56.1,82.0,264.98,135.0,2026-07-31
SONATSOFTW,308.9,-2.69,15.95,15.99,49.39,-3.92,92.1,126,2.4,5.03,34.3,-35.28,53.0,83.0,327.45,204.36,2026-07-31
NIITLTD,95.08,-2.96,25.9,28.7,88.73,-11.41,76.2,126,22.74,31.11,99.72,-35.65,53.0,83.0,111.1,49.0,2026-07-31
RPTECH,813.0,5.1,72.06,68.66,140.6,1.44,100.0,126,59.6,54.24,128.99,-7.34,96.4,83.0,842.0,320.0,2026-07-31
TARSONS,316.45,-1.11,45.15,50.15,90.11,-1.39,97.6,126,21.47,11.17,60.99,-20.21,89.2,83.0,334.9,164.45,2026-07-31
XPROINDIA,1394.7,2.18,28.49,30.4,71.79,-7.12,90.5,126,25.21,29.57,63.03,-2.95,95.2,83.0,1572.64,786.97,2026-07-31
CEWATER,286.35,-1.68,-6.43,-7.39,18.69,-34.56,34.4,125,-6.27,-10.64,39.82,-38.62,30.5,82.0,442.0,235.0,2026-07-31
MSTCLTD,604.75,-1.51,25.04,33.45,65.3,-16.8,78.6,126,22.55,1.71,93.9,-22.96,57.8,83.0,743.9,362.15,2026-07-31
LLOYDSENGG,88.07,-2.13,49.07,49.63,133.42,-3.57,89.7,126,53.45,54.93,136.36,-22.33,92.8,83.0,95.1,37.4,2026-07-31
FACT,815.45,-1.34,-2.79,-4.82,23.16,-18.28,34.1,126,8.59,10.92,30.85,-12.67,74.7,83.0,1058.6,652.1,2026-07-31
GRANDOAK,33.67,-4.78,-0.09,3.23,36.65,-36.6,51.4,70,29.11,30.57,47.27,10.39,100.0,9.0,55.76,24.0,2026-07-31
FINKURVE,60.94,-1.8,-9.32,-7.78,19.33,-37.46,16.0,125,-7.8,-12.69,28.46,-42.31,31.7,82.0,104.0,48.02,2026-07-31
ORCHPHARMA,1000.25,-0.12,43.94,43.56,107.33,-9.18,88.1,126,38.2,48.05,101.64,-33.67,72.3,83.0,1119.8,480.0,2026-07-31
MCLOUD,29.59,0.07,15.24,13.13,49.52,-7.27,92.9,126,13.31,10.52,54.12,-13.42,83.1,83.0,34.55,19.4,2026-07-31
FABTECH,150.08,0.34,-2.42,-3.59,12.08,-13.08,30.4,125,-0.39,1.92,17.27,-25.17,54.9,82.0,182.79,132.7,2026-07-31
KRONOX,152.09,-1.23,15.83,14.99,56.76,-5.77,85.7,126,16.57,14.52,56.77,-6.3,94.0,83.0,175.0,96.0,2026-07-31
QUADFUTURE,344.4,-1.94,5.91,11.15,28.44,-26.69,73.8,126,17.34,11.29,66.19,-16.28,75.9,83.0,481.25,262.25,2026-07-31
TCPLPACK,3155.4,-0.87,16.86,18.7,42.51,-7.97,91.3,126,6.95,2.87,34.91,-21.37,62.7,83.0,3470.0,2200.0,2026-07-31
EMBDL,61.41,-1.02,7.04,0.79,55.63,-16.27,52.4,126,9.42,6.32,57.43,-30.12,68.7,83.0,75.97,39.46,2026-07-31
SIMPLEXINF,233.3,-0.38,6.75,2.13,66.29,-17.27,55.2,125,20.83,16.17,89.38,-32.84,73.2,82.0,292.0,137.0,2026-07-31
PREMEXPLN,655.25,-1.04,18.46,20.91,71.76,-18.95,65.1,126,32.81,26.57,111.93,-20.93,86.7,83.0,829.8,378.4,2026-07-31
MMTC,60.09,-1.89,-5.02,-6.37,15.34,-20.97,19.8,126,6.69,3.74,42.48,-16.52,66.3,83.0,78.35,50.1,2026-07-31
RGL,119.55,-1.25,9.96,10.89,38.72,-18.0,85.7,126,0.8,-4.04,32.32,-27.33,42.2,83.0,147.9,85.0,2026-07-31
WABAG,1889.4,0.68,29.15,30.93,77.62,-14.73,77.8,126,35.0,32.32,76.69,-1.92,98.8,83.0,2248.02,1035.47,2026-07-31
ZUARI,238.21,1.16,5.47,4.1,31.48,-15.63,79.4,126,-1.4,-0.88,29.89,-37.31,48.2,83.0,287.3,175.1,2026-07-31
RIIL,727.9,-1.32,-2.51,-3.39,17.11,-17.07,31.7,126,8.92,9.15,36.01,-16.53,73.5,83.0,908.0,614.55,2026-07-31
SHK,170.01,4.02,23.51,24.67,51.34,-3.82,96.8,126,-4.92,-5.95,17.71,-33.46,32.5,83.0,181.95,111.98,2026-07-31
CMPDI,238.95,-2.31,9.48,1.87,58.41,-13.53,54.1,85,52.72,54.33,77.9,28.11,100.0,24.0,282.52,149.54,2026-07-31
PGEL,613.0,0.09,14.14,12.29,39.11,-2.37,87.3,126,-2.82,-2.5,31.31,-29.68,49.4,83.0,634.65,436.55,2026-07-31
ASHIANA,386.55,0.76,13.25,12.12,38.2,-2.4,92.9,126,17.58,16.1,41.56,2.65,100.0,83.0,435.9,276.7,2026-07-31
VARROC,664.6,0.01,18.38,18.59,42.19,-0.44,97.6,125,11.08,13.64,37.86,-23.53,65.9,82.0,683.3,462.0,2026-07-31
HCC,20.94,-1.92,4.2,-0.36,52.51,-24.76,49.2,126,27.95,20.75,95.57,-21.21,84.3,83.0,28.5,13.65,2026-07-31
ADFFOODS,262.35,-13.07,10.85,-0.62,66.16,-18.12,47.6,126,40.14,36.21,93.49,-15.0,90.4,83.0,346.95,153.1,2026-07-31
ESAFSFB,36.48,-2.54,30.89,30.78,83.69,-5.71,96.8,126,18.58,7.39,68.68,-18.91,66.3,83.0,40.2,19.78,2026-07-31
AGI,705.15,-0.82,17.78,17.62,50.5,-3.67,90.5,126,11.79,11.48,54.72,-33.31,69.9,83.0,748.0,465.0,2026-07-31
ABREL,1378.1,-1.96,5.48,5.78,26.08,-13.24,65.1,126,3.28,2.21,27.15,-30.78,59.0,83.0,1595.22,1078.22,2026-07-31
MARINE,259.55,-2.17,20.53,15.52,71.09,-10.79,84.9,126,28.88,27.6,86.91,-19.41,92.8,83.0,297.9,150.86,2026-07-31
AYE,161.1,-2.99,20.39,15.44,78.86,-14.82,70.8,113,42.58,40.11,100.83,-0.62,98.1,54.0,197.29,88.22,2026-07-31
JAINREC,343.15,2.33,-12.97,-12.93,12.42,-39.96,14.3,126,-3.84,-11.91,48.01,-28.77,45.8,83.0,593.95,302.0,2026-07-31
IVALUE,273.8,-3.78,10.15,11.96,28.79,-12.57,79.2,125,10.12,8.83,30.89,-14.74,87.8,82.0,321.45,207.35,2026-07-31
GODAVARIB,266.8,-0.84,-7.54,-7.05,11.35,-20.33,12.8,125,1.3,-1.34,33.13,-20.39,45.1,82.0,353.0,234.55,2026-07-31
NETWEB,4195.2,-3.87,10.29,8.06,36.76,-17.92,65.1,126,26.18,26.35,65.54,-3.23,94.0,83.0,5244.0,3015.0,2026-07-31
NILE,1880.1,-1.06,6.49,6.52,15.25,-5.11,90.0,70,11.43,10.26,16.3,7.78,100.0,9.0,2018.9,1605.05,2026-07-31
CAPACITE,216.55,-1.21,-6.84,-6.25,20.12,-18.96,17.5,126,2.21,0.74,26.62,-16.25,51.8,83.0,287.0,180.0,2026-07-31
MUTHOOTMF,246.88,-3.4,33.23,35.75,69.72,-3.49,94.4,125,17.16,17.1,47.14,-17.73,76.8,82.0,262.77,141.2,2026-07-31
KALPATARU,290.75,-2.24,-7.04,-8.06,12.3,-24.51,20.0,125,-1.52,-0.87,17.54,-23.7,43.9,82.0,409.8,258.0,2026-07-31
HUBTOWN,187.29,-2.21,-8.69,-9.05,8.87,-22.42,7.9,126,-1.31,-2.54,20.69,-24.23,38.6,83.0,254.0,168.15,2026-07-31
MENONBE,214.97,-2.1,58.79,69.87,111.34,-5.11,96.0,125,31.46,27.42,88.12,-6.84,86.6,82.0,231.6,100.88,2026-07-31
RML,1153.4,3.43,33.89,37.52,88.71,-9.97,88.1,126,27.66,12.93,86.43,-17.33,86.7,83.0,1305.09,599.85,2026-07-31
JAICORPLTD,101.47,-0.28,-8.06,-10.38,14.32,-16.58,14.3,126,3.8,4.27,28.71,-24.33,62.7,83.0,125.35,88.0,2026-07-31
JAYBARMARU,152.95,-0.03,39.85,46.42,102.18,-23.21,73.6,125,44.56,30.81,126.54,-22.0,81.7,82.0,207.0,74.15,2026-07-31
GRMOVER,88.08,-0.93,-33.25,-44.33,0.55,-48.42,0.8,126,-19.59,-4.49,5.38,-46.93,22.9,83.0,180.78,81.95,2026-07-31
BRIGADE,565.1,0.15,5.92,5.51,18.71,-6.86,76.2,126,-2.82,-2.74,12.95,-23.46,37.3,83.0,612.0,450.75,2026-07-31
EDELWEISS,115.14,-0.83,0.26,-0.71,15.52,-11.62,48.4,126,5.43,4.05,27.49,-13.01,67.5,83.0,133.9,99.02,2026-07-31
PANSARI,329.85,0.72,11.6,12.14,30.48,-9.7,86.4,125,4.78,3.55,33.11,-18.08,56.1,82.0,388.9,238.35,2026-07-31
GKENERGY,128.51,-4.57,5.44,2.35,42.52,-15.43,58.4,125,17.42,13.55,57.0,-39.6,85.4,82.0,154.9,87.2,2026-07-31
PARADEEP,153.38,-2.02,22.08,21.51,48.64,-2.02,99.2,126,6.82,7.61,30.8,-27.4,72.3,83.0,159.5,99.7,2026-07-31
INNOVANA,321.05,-2.96,-9.98,-10.21,6.82,-26.58,14.4,125,-8.25,-11.23,17.31,-24.55,22.0,82.0,450.0,292.8,2026-07-31
GNFC,527.05,0.37,10.71,8.86,43.83,-9.36,88.1,126,12.95,10.86,51.65,-17.57,89.2,83.0,616.0,365.0,2026-07-31
DENTA,343.55,1.72,25.03,27.17,53.06,-2.69,96.0,126,10.54,9.36,49.34,-26.33,77.1,83.0,364.5,222.0,2026-07-31
ATLANTAELE,1521.0,-1.75,16.28,-4.33,109.13,-29.31,44.8,125,70.87,76.33,149.97,-14.85,92.7,82.0,2152.6,709.05,2026-07-31
IZMO,1002.8,-4.98,26.55,35.23,67.82,-10.78,78.4,125,22.02,25.66,65.55,-22.06,73.2,82.0,1175.4,569.35,2026-07-31
GVPIL,732.65,-1.58,31.17,20.06,159.03,-29.9,61.9,126,84.24,85.27,153.65,14.62,100.0,83.0,1073.74,273.39,2026-07-31
IDEAFORGE,851.1,0.31,47.63,28.07,128.94,-11.79,76.2,126,76.19,87.83,124.11,-17.43,91.6,83.0,992.25,366.0,2026-07-31
SEJALLTD,757.1,1.51,14.73,5.97,88.78,-14.42,69.8,126,22.48,20.31,87.07,-48.08,80.7,83.0,887.4,381.0,2026-07-31
DEEDEV,646.25,-2.08,70.85,48.86,245.61,-12.52,69.0,126,109.9,117.99,171.08,38.63,100.0,83.0,760.0,183.41,2026-07-31
BHAGYANGR,367.95,-4.85,63.04,33.57,170.37,-14.8,77.0,126,88.53,88.34,213.59,-12.81,96.4,83.0,432.3,135.0,2026-07-31
CHEMBONDCH,218.61,-4.44,30.23,33.43,106.81,-17.77,80.0,125,37.2,28.27,104.94,-9.91,95.1,82.0,278.39,104.32,2026-07-31
RAJESHEXPO,85.04,-1.95,-22.38,-22.09,11.29,-55.24,7.1,126,-21.06,-25.81,26.68,-47.22,15.7,83.0,192.4,72.63,2026-07-31
SICALLOG,117.07,5.0,58.24,70.23,85.83,5.0,100.0,125,11.58,4.41,79.72,-31.3,52.4,82.0,117.07,60.11,2026-07-31
VIDYAWIRES,89.47,0.19,27.87,2.26,97.07,-21.52,58.7,126,70.01,83.29,120.8,0.65,100.0,83.0,117.35,44.1,2026-07-31
SUBEXLTD,11.75,-2.33,17.39,15.54,75.9,-13.16,84.9,126,20.89,19.01,73.95,-28.86,83.1,83.0,13.97,6.61,2026-07-31
GAYAPROJ,19.32,-3.98,16.34,4.8,59.67,-23.52,59.5,126,45.72,48.33,89.5,3.57,100.0,83.0,26.0,12.1,2026-07-31
NCLIND,182.47,-1.51,1.3,-0.02,23.15,-6.82,49.2,126,0.42,-0.61,31.07,-17.11,47.0,83.0,200.0,147.5,2026-07-31
VASCONEQ,31.6,-0.88,-10.63,-8.96,16.78,-30.0,6.3,126,-7.08,-10.16,25.87,-31.04,21.7,83.0,46.3,26.75,2026-07-31
SUNTECK,303.5,-1.81,-7.65,-4.9,11.09,-27.58,23.0,126,-11.98,-14.93,15.56,-29.65,20.5,83.0,421.75,270.75,2026-07-31
ZUARIIND,262.3,0.83,2.58,1.89,22.97,-7.1,59.5,126,0.82,0.36,26.37,-25.21,51.8,83.0,287.4,210.0,2026-07-31
SOTL,588.1,-3.48,42.0,54.67,104.13,-9.43,88.1,126,38.61,43.3,80.76,-15.74,91.6,83.0,666.6,285.8,2026-07-31
PDSL,345.05,-1.5,11.51,14.58,36.56,-9.31,74.4,125,6.11,3.0,39.65,-20.53,53.7,82.0,416.56,244.91,2026-07-31
MTARTECH,5453.5,5.0,10.76,-2.87,101.86,-34.88,48.4,126,86.69,97.82,145.97,-15.54,97.6,83.0,8714.0,2538.1,2026-07-31
PRECWIRE,353.75,-1.64,1.8,-5.25,47.04,-22.48,40.5,126,36.44,36.87,89.08,-16.05,88.0,83.0,466.77,225.14,2026-07-31
DECNGOLD,191.15,-0.46,19.8,12.9,64.16,-15.98,61.4,70,57.67,58.14,63.32,52.28,100.0,9.0,235.0,114.8,2026-07-31
KPIL,1282.7,-1.59,5.8,3.36,27.0,-10.19,69.8,126,13.61,12.5,41.41,-9.61,96.4,83.0,1467.84,999.1,2026-07-31
SAPPHIRE,195.25,0.82,7.08,7.42,29.8,-13.97,82.5,126,-2.88,-1.45,24.26,-32.76,48.2,83.0,228.9,139.91,2026-07-31
HFCL,184.69,-4.58,73.4,52.85,186.3,-18.29,71.4,126,121.73,119.79,215.02,4.56,100.0,83.0,229.5,61.31,2026-07-31
MOL,55.3,-1.81,11.08,10.53,50.52,-8.02,84.1,126,-0.11,-1.6,32.55,-26.92,44.6,83.0,61.5,36.5,2026-07-31
FRACTAL,771.8,-1.86,-12.69,-12.41,2.7,-29.94,3.5,113,10.37,11.14,38.14,-19.05,81.5,54.0,1118.0,733.7,2026-07-31
MAXESTATES,387.9,-0.59,-3.72,-4.2,25.64,-18.59,27.2,125,8.65,7.72,38.79,-21.12,69.5,82.0,492.0,305.45,2026-07-31
KKCL,505.65,-0.46,7.08,6.07,22.95,-5.08,88.8,125,1.07,3.0,20.95,-17.44,59.8,82.0,549.49,406.58,2026-07-31
BHARATWIRE,196.74,-2.39,1.66,-2.59,27.79,-22.18,43.7,126,21.81,27.81,47.09,-14.1,80.7,83.0,262.0,148.01,2026-07-31
SADHNANIQ,2.61,0.0,17.35,8.75,96.24,-57.35,65.9,126,17.29,29.67,132.33,-78.22,71.1,83.0,6.34,1.27,2026-07-31
GHCLTEXTIL,114.12,-4.53,31.56,28.94,75.23,-4.53,92.9,126,25.46,27.36,52.98,-2.27,98.8,83.0,124.9,64.85,2026-07-31
NACLIND,188.57,-3.37,18.59,16.89,62.66,-22.41,77.8,126,23.93,22.95,76.16,-15.42,84.3,83.0,245.0,112.62,2026-07-31
COFORGE,1742.9,1.87,30.44,26.78,62.67,1.87,100.0,126,6.8,16.56,46.07,-31.73,63.9,83.0,1760.86,1005.79,2026-07-31
NUCLEUS,738.15,-0.4,-4.93,-4.39,7.93,-18.03,11.1,126,-6.33,-6.31,4.88,-13.48,9.6,83.0,983.33,678.6,2026-07-31
POKARNA,918.0,-0.22,1.06,1.96,26.26,-18.88,57.9,126,4.96,6.95,29.87,-24.69,65.1,83.0,1145.49,692.17,2026-07-31
MUKKA,22.64,-1.74,-1.69,-2.16,22.44,-11.11,29.6,125,3.96,1.66,28.83,-11.09,59.8,82.0,26.5,18.27,2026-07-31
AJMERA,125.46,-2.11,-0.24,-0.01,25.49,-19.47,50.0,126,-4.06,-7.55,37.92,-44.39,38.6,83.0,160.9,98.03,2026-07-31
FCL,37.73,-4.12,35.21,51.25,96.1,-16.91,68.3,126,50.09,62.74,118.21,-8.58,92.8,83.0,47.18,19.1,2026-07-31
RANEHOLDIN,1743.6,0.48,32.7,30.69,75.77,-2.78,92.1,126,23.23,18.74,76.26,-29.42,65.1,83.0,1837.7,981.0,2026-07-31
TBZ,279.57,1.85,76.08,83.46,150.71,-3.96,98.4,126,23.78,22.61,97.99,-25.14,54.2,83.0,295.7,110.5,2026-07-31
ADVAIT,2178.3,-3.56,14.25,9.78,55.24,-11.11,73.8,126,28.06,25.46,57.69,7.46,100.0,73.0,2485.0,1378.0,2026-07-31
NAVKARCORP,101.75,-1.32,4.45,4.03,36.34,-12.47,68.3,126,8.94,4.47,43.94,-13.82,72.3,83.0,120.95,74.05,2026-07-31
SUZLON,47.4,-0.11,-4.36,-10.09,19.82,-20.08,32.5,126,18.3,17.89,48.89,-22.51,83.1,83.0,60.45,38.19,2026-07-31
NEPHROPLUS,683.1,-3.25,15.27,17.4,36.35,-9.08,89.6,125,16.68,13.58,44.6,-0.22,97.6,82.0,769.75,489.85,2026-07-31
RAMCOSYS,605.45,2.61,23.94,31.29,75.98,-31.68,80.2,126,29.61,4.58,143.0,-32.37,61.4,83.0,967.5,342.1,2026-07-31
PARACABLES,62.69,-1.24,38.81,55.42,119.5,-15.43,66.7,126,64.65,67.73,141.67,-14.51,95.2,83.0,75.7,28.3,2026-07-31
THEJO,1900.6,0.59,11.13,10.34,30.41,-2.32,93.6,125,4.01,2.14,31.65,-9.68,61.0,82.0,2036.5,1443.6,2026-07-31
AVL,625.35,-0.15,17.7,19.21,40.78,-6.46,81.0,126,17.35,14.59,41.15,-6.19,94.0,83.0,705.0,436.55,2026-07-31
BNAGROCHEM,274.0,-0.25,-3.02,-3.34,15.61,-27.13,22.9,70,13.53,14.12,15.92,10.23,100.0,9.0,394.8,224.0,2026-07-31
SPARC,208.43,-2.22,29.35,39.27,91.73,-24.91,65.1,126,52.62,55.95,118.96,-9.4,96.4,83.0,289.0,108.0,2026-07-31
MGL,1118.5,1.22,2.53,2.01,23.13,-10.2,60.8,125,4.51,2.9,37.11,-13.41,59.8,82.0,1252.0,900.0,2026-07-31
MANAKCOAT,122.09,-1.25,9.08,9.48,26.23,-5.46,78.6,126,-4.26,-9.22,22.98,-21.28,34.9,83.0,130.96,94.2,2026-07-31
HARSHA,398.05,-3.06,3.06,1.2,27.12,-8.95,57.1,126,10.29,7.25,33.56,-14.08,88.0,83.0,467.32,312.18,2026-07-31
EUROPRATIK,304.25,-2.7,18.0,18.29,44.78,-3.29,87.2,125,12.03,11.95,40.6,-28.47,82.9,82.0,333.0,204.92,2026-07-31
TITAGARH,824.8,-1.09,7.52,4.92,43.48,-11.56,65.9,126,14.31,11.26,54.72,-27.62,71.1,83.0,971.0,568.7,2026-07-31
SPIC,66.36,-0.7,-2.13,-3.89,19.74,-10.63,23.0,126,0.73,-0.16,22.0,-23.99,48.2,83.0,76.44,55.1,2026-07-31
RHETAN,30.26,1.31,12.42,13.97,24.89,-3.75,90.5,126,8.58,8.63,25.51,-5.22,83.1,83.0,33.01,24.0,2026-07-31
MADRASFERT,66.66,0.27,-1.13,-2.5,25.63,-12.47,28.8,125,0.46,-1.78,27.06,-23.73,41.5,82.0,77.45,52.56,2026-07-31
EXICOM,157.5,-1.16,34.92,36.58,106.53,-11.52,71.4,126,46.17,43.54,124.01,-22.37,94.0,83.0,182.9,75.6,2026-07-31
ARFIN,88.6,1.64,4.72,1.64,26.68,-11.2,52.8,125,15.7,19.4,33.56,-11.56,81.7,82.0,106.2,67.99,2026-07-31
RAMRAT,460.25,0.82,26.37,18.8,62.89,-1.61,96.8,126,27.96,30.18,59.31,-1.1,98.8,83.0,516.91,279.43,2026-07-31
ANUHPHR,79.72,0.73,2.06,1.19,18.99,-6.52,61.6,125,3.3,1.22,21.24,-8.02,59.8,82.0,86.81,67.0,2026-07-31
INVPRECQ,1047.2,3.44,51.56,65.03,81.96,3.17,100.0,70,51.98,60.19,74.61,23.84,100.0,9.0,1062.0,551.0,2026-07-31
WELSPLSOL,51.16,-0.6,6.82,-0.6,34.45,-15.34,47.8,69,26.97,26.14,42.65,14.97,100.0,8.0,63.25,36.25,2026-07-31
MANBA,135.71,1.45,13.43,14.79,35.02,-7.28,84.0,125,3.03,-1.63,36.66,-23.31,47.6,82.0,154.0,98.0,2026-07-31
GLAXO,2610.7,-0.6,10.4,10.24,24.13,-0.83,97.6,126,-0.9,0.67,14.58,-13.88,53.0,83.0,2670.0,2088.1,2026-07-31
CCAVENUE,15.98,-4.2,4.53,6.43,21.52,-17.12,62.7,126,-2.28,-4.59,25.3,-27.62,38.6,83.0,19.43,12.92,2026-07-31
PATELENG,27.38,-1.51,-1.83,-2.11,23.33,-21.61,38.9,126,7.33,0.52,57.34,-13.3,56.6,83.0,35.95,22.0,2026-07-31
NETWORK18,29.29,0.17,-10.61,-10.17,6.43,-27.16,7.1,126,-6.97,-8.66,16.81,-30.99,22.9,83.0,40.95,27.38,2026-07-31
APTECHT,90.66,-1.03,-0.21,-2.69,34.56,-25.42,40.5,126,21.76,25.34,62.07,-15.73,80.7,83.0,128.48,66.31,2026-07-31
COROMANDEL,2054.2,0.81,1.91,2.03,17.79,-13.24,67.5,126,-7.57,-8.33,8.62,-21.41,24.1,83.0,2396.67,1704.84,2026-07-31
SHILPAMED,602.95,-0.27,43.31,42.8,123.36,-6.63,87.3,126,51.59,50.2,76.34,22.95,100.0,83.0,650.0,263.1,2026-07-31
ZENTEC,1615.4,-1.87,3.42,0.75,26.3,-19.11,52.4,126,21.6,21.69,44.51,-3.33,95.2,83.0,2024.0,1265.0,2026-07-31
KIRLOSBROS,1873.3,1.0,12.17,14.29,40.42,-9.3,85.7,126,12.42,8.96,53.34,-13.21,89.2,83.0,2180.91,1329.94,2026-07-31
AHLUCONT,819.3,0.23,1.29,0.05,25.02,-9.96,50.0,126,3.0,2.5,32.91,-24.45,61.4,83.0,929.95,645.15,2026-07-31
HCLTECH,1352.7,0.62,7.97,9.23,32.13,-19.48,75.4,126,-15.47,-16.55,13.96,-29.28,7.2,83.0,1729.01,1019.59,2026-07-31
EXPLEOSOL,796.6,-2.03,11.57,10.41,40.15,-5.03,95.2,125,3.16,5.62,24.65,-26.77,59.8,82.0,877.79,562.35,2026-07-31
GOLDIAM,361.5,2.47,26.08,22.96,79.42,-4.37,96.8,126,27.09,22.71,68.49,-18.66,86.7,83.0,393.65,198.75,2026-07-31
NIITMTS,239.96,-0.49,-12.37,-16.39,15.67,-39.54,38.1,126,-24.66,-23.83,-9.98,-38.94,0.0,83.0,410.55,203.3,2026-07-31
SOLEX,905.1,-1.38,-15.3,-13.18,8.59,-35.19,8.7,126,12.6,18.33,45.54,-32.87,74.7,83.0,1464.0,795.45,2026-07-31
ASTEC,627.0,-2.44,-6.14,-7.41,20.15,-21.4,25.4,126,14.81,20.39,48.99,-23.23,79.5,83.0,850.0,513.4,2026-07-31
NAZARA,308.05,1.45,12.84,11.93,41.53,-0.66,96.8,126,9.8,9.68,38.09,-19.56,71.1,83.0,315.0,215.7,2026-07-31
SINDHUTRAD,24.16,-3.09,-0.75,-2.66,19.6,-12.65,40.8,125,9.38,7.62,32.98,-14.56,85.4,82.0,28.64,18.0,2026-07-31
NRL,104.5,1.16,70.9,90.55,123.53,-5.09,92.0,125,40.6,36.28,103.75,-14.19,86.6,82.0,114.0,45.1,2026-07-31
SBICARD,657.8,-0.41,-0.49,1.95,15.76,-17.3,57.1,126,-13.56,-14.25,2.16,-28.8,3.6,83.0,797.71,565.45,2026-07-31
ITDC,696.9,-3.14,26.08,24.56,88.1,-12.22,87.2,125,20.5,17.89,70.21,-31.51,93.9,82.0,822.0,368.0,2026-07-31
LIKHITHA,219.75,-1.79,13.06,4.43,65.04,-18.76,57.1,126,33.29,31.02,92.37,-6.39,94.0,83.0,272.0,131.45,2026-07-31
MAYURUNIQ,769.1,-3.4,22.2,31.16,55.94,-12.98,68.8,125,34.44,39.7,74.13,-3.03,97.6,82.0,907.0,487.15,2026-07-31
CHAMBLFERT,445.85,-1.24,-1.03,-1.57,8.15,-9.01,34.1,126,3.32,2.39,17.68,-7.92,69.9,83.0,497.8,399.75,2026-07-31
SKMEGGPROD,249.9,-8.63,26.02,37.03,71.12,-30.76,79.4,126,37.58,46.01,108.46,-20.36,73.5,83.0,372.0,143.1,2026-07-31
LAXMIINDIA,120.46,-2.72,16.7,12.46,68.12,-13.13,86.5,126,17.62,20.02,46.81,-37.48,85.5,83.0,141.9,71.06,2026-07-31
PRESTIGE,1594.8,-4.67,11.69,12.75,41.57,-7.99,83.3,126,7.45,1.17,45.32,-29.03,53.0,83.0,1741.5,1090.0,2026-07-31
APOLLO,378.1,-1.31,31.3,27.26,107.56,-15.99,61.9,126,57.36,51.24,133.17,-25.71,90.4,83.0,466.5,179.5,2026-07-31
VLSFINANCE,251.85,-0.67,3.95,5.05,21.2,-9.55,62.4,125,-2.22,-3.37,23.97,-26.91,42.7,82.0,281.45,205.0,2026-07-31
TIMKEN,3095.1,0.03,-8.17,-9.66,5.3,-17.77,9.5,126,6.67,8.64,21.61,-15.41,78.3,83.0,3921.83,2888.47,2026-07-31
JSWHL,11196.0,0.3,-16.02,-11.56,5.08,-38.21,8.7,126,-19.95,-23.24,6.8,-38.74,8.4,83.0,18257.0,10530.0,2026-07-31
AWL,187.58,-1.23,-1.41,-1.1,9.44,-13.06,38.9,126,-1.62,-0.92,12.72,-23.06,47.0,83.0,218.86,170.3,2026-07-31
DHUNINV,853.0,-1.19,-2.75,-2.57,25.17,-16.18,37.6,125,-4.0,-7.3,25.11,-37.95,31.7,82.0,1085.0,667.1,2026-07-31
PYRAMID,180.85,-2.71,13.36,11.9,34.5,-7.71,97.6,125,9.82,10.47,27.96,-12.98,87.8,82.0,198.69,131.8,2026-07-31
FOSECOIND,4969.5,-0.29,1.45,0.31,14.89,-8.23,51.2,125,4.61,5.25,15.89,-7.97,78.0,82.0,5567.17,4278.61,2026-07-31
MCCHRLS-B,703.55,1.78,1.85,1.96,6.0,-1.8,82.6,69,2.7,3.0,4.94,0.91,100.0,8.0,798.7,580.0,2026-07-31
ORISSAMINE,4085.2,1.2,3.03,1.44,30.71,-12.59,59.5,126,-1.28,-3.6,28.35,-31.55,38.6,83.0,4744.5,3100.5,2026-07-31
KAYNES,3621.5,-0.47,1.86,2.33,20.68,-19.66,55.6,126,-5.92,-11.47,27.73,-27.06,30.1,83.0,4538.6,2995.0,2026-07-31
CUB,213.48,-5.85,7.35,8.1,24.11,-9.52,73.0,126,1.15,-2.24,22.31,-15.68,47.0,83.0,243.1,168.26,2026-07-31
BORORENEW,561.85,-2.11,11.05,10.27,49.03,-13.78,73.8,126,17.77,13.08,60.52,-22.98,84.3,83.0,669.9,374.4,2026-07-31
HSCL,760.5,-1.22,38.5,30.25,73.81,-5.04,94.4,126,33.95,36.3,58.32,-7.8,92.8,83.0,819.5,420.43,2026-07-31
SASKEN,1746.8,-2.62,18.36,31.75,75.33,-33.56,59.5,126,51.77,47.55,140.96,-20.37,86.7,83.0,2760.49,983.97,2026-07-31
SCHAEFFLER,4040.1,-2.88,0.19,-1.07,12.8,-7.23,40.5,126,5.37,5.34,21.41,-6.03,73.5,83.0,4445.0,3521.03,2026-07-31
KLBRENG-B,431.6,-0.96,-10.4,-11.13,-0.96,-18.58,0.0,70,-14.94,-14.81,-13.26,-17.55,0.0,9.0,544.85,430.5,2026-07-31
BETA,2203.4,-1.33,53.82,58.02,113.86,-11.1,89.6,125,33.15,35.36,101.11,-14.51,68.3,82.0,2674.0,990.1,2026-07-31
INOXINDIA,1897.5,0.83,33.07,30.33,74.26,-9.38,84.9,126,37.44,33.38,75.71,5.28,100.0,83.0,2119.8,1068.71,2026-07-31
KAJARIACER,1192.0,-1.46,12.19,10.5,34.9,-4.04,73.8,126,15.87,14.88,38.99,-1.5,95.2,83.0,1271.5,869.6,2026-07-31
