symbol,price,day_change_pct,avg_entry_return,median_entry_return,best_entry_return,worst_entry_return,pct_profitable_entries,entry_days,roll3m_avg,roll3m_median,roll3m_best,roll3m_worst,roll3m_pos_pct,roll3m_windows,high_52w,low_52w,as_of
OSWALPUMPS,334.0,-3.05,-9.25,-11.95,15.23,-23.73,22.2,126,10.32,9.25,47.54,-34.72,72.3,83.0,449.4,283.1,2026-07-31
WSI,60.23,-1.58,-13.41,-12.91,-1.15,-25.38,0.0,125,-7.61,-8.36,12.16,-19.38,9.8,82.0,82.62,59.25,2026-07-31
SBC,42.12,0.1,21.03,25.25,47.89,-4.47,88.9,126,21.11,17.28,45.18,6.19,100.0,83.0,45.0,24.27,2026-07-31
STEELXIND,11.12,-0.98,15.41,10.98,58.18,-16.95,64.3,126,36.28,33.67,88.19,-13.82,95.2,83.0,13.95,7.0,2026-07-31
CPPLUS,3259.8,-4.82,46.76,38.19,135.98,-14.18,67.5,126,74.52,67.08,121.14,23.95,100.0,83.0,3864.25,1371.48,2026-07-31
HIMATSEIDE,79.23,-1.72,-8.92,-8.68,9.07,-34.01,23.8,126,-10.69,-11.53,26.42,-31.19,18.1,83.0,126.97,72.01,2026-07-31
DWARKESH,36.68,-3.22,-11.64,-15.08,10.41,-27.09,18.4,125,15.08,17.05,46.71,-21.68,70.7,82.0,52.95,32.81,2026-07-31
UTIAMC,909.3,-0.63,-2.82,-1.42,4.35,-13.97,31.7,126,-4.51,-3.87,7.13,-17.83,21.7,83.0,1076.23,861.62,2026-07-31
ABDL,648.45,0.57,22.59,21.16,70.26,-7.72,92.0,125,23.38,18.48,66.73,-25.61,95.1,82.0,711.7,378.82,2026-07-31
FIRSTCRY,211.93,-1.44,-7.19,-5.06,4.17,-25.23,9.5,126,-6.67,-8.34,11.5,-24.24,30.1,83.0,289.7,202.56,2026-07-31
FILATEX,68.34,-4.35,43.66,49.48,85.2,-8.44,91.2,125,18.89,15.86,78.29,-18.66,65.9,82.0,77.54,36.26,2026-07-31
RAINBOW,1520.6,1.6,18.51,19.69,38.08,1.5,100.0,126,13.64,14.02,31.99,-11.06,91.6,83.0,1535.0,1081.46,2026-07-31
RPEL,1274.8,-1.88,52.63,68.93,125.26,-3.16,88.8,125,46.02,51.86,112.75,-33.1,73.2,82.0,1371.8,560.83,2026-07-31
